variable,group,value
espX4,1077,1
espX5,1077,1
espX7/nleL,1077,1
etgA,1077,1
fdeC,1077,1
fepA,1077,1
fepB,1077,1
fepC,1077,1
fepD,1077,1
fepG,1077,0
fes,1077,0
fimA,1077,1
fimB,1077,1
fimC,1077,0
fimD,1077,0
fimE,1077,0
fimF,1077,0
fimG,1077,1
fimH,1077,0
acrA,1020,1
acrB,1020,0
allB,1020,1
aslA,1020,1
cesAB,1020,1
cesD,1020,1
cesD2,1020,0
cesL,1020,1
cesT,1020,0
csgB,1020,0
eae,1020,1
east1,1020,1
efa1,1020,1
entB,1020,0
entC,1020,0
entD,1020,1
entE,1020,1
entF,1020,1
entS,1020,1
escC,1020,1
escD,1020,0
escE,1020,1
escF,1020,1
escG,1020,1
escI,1020,1
escJ,1020,1
escL,1020,1
escN,1020,0
escO,1020,1
escR,1020,1
escS,1020,1
escT,1020,1
escU,1020,1
escV,1020,1
espA,1020,1
espB,1020,1
espD,1020,1
espF,1020,0
espFu/tccP,1020,0
espG,1020,1
espK,1020,0
espL1,1020,1
espL2,1020,1
espL4,1020,1
espM1,1020,1
espN,1020,1
espP,1020,1
espR1,1020,1
espX1,1020,1
espX4,1020,1
espX5,1020,1
espX7/nleL,1020,1
etgA,1020,1
fdeC,1020,1
fepA,1020,1
fepB,1020,1
fepC,1020,1
fepD,1020,1
fepG,1020,0
fes,1020,0
fimA,1020,1
fimB,1020,1
fimC,1020,0
fimD,1020,0
fimE,1020,0
fimF,1020,0
fimG,1020,1
fimH,1020,0
acrA,1602,1
acrB,1602,0
allB,1602,1
aslA,1602,1
cesAB,1602,1
cesD,1602,1
cesD2,1602,0
cesL,1602,0
cesT,1602,1
csgB,1602,0
eae,1602,1
east1,1602,1
efa1,1602,1
entB,1602,0
entC,1602,0
entD,1602,1
entE,1602,1
entF,1602,1
entS,1602,1
escC,1602,1
escD,1602,0
escE,1602,1
escF,1602,1
escG,1602,1
escI,1602,1
escJ,1602,1
escL,1602,1
escN,1602,0
escO,1602,1
escR,1602,1
escS,1602,1
escT,1602,1
escU,1602,1
escV,1602,1
espA,1602,1
espB,1602,1
espD,1602,1
espF,1602,0
espFu/tccP,1602,0
espG,1602,1
espK,1602,0
espL1,1602,1
espL2,1602,1
espL4,1602,1
espM1,1602,1
espN,1602,1
espP,1602,1
espR1,1602,1
espX1,1602,1
espX4,1602,1
espX5,1602,1
espX7/nleL,1602,1
etgA,1602,1
fdeC,1602,1
fepA,1602,1
fepB,1602,1
fepC,1602,1
fepD,1602,1
fepG,1602,0
fes,1602,0
fimA,1602,1
fimB,1602,1
fimC,1602,0
fimD,1602,0
fimE,1602,0
fimF,1602,0
fimG,1602,1
fimH,1602,0
